iso_a3,cropname,n_total,n_flagged,flag_pct
AFG,Barley,24,0,0.0
AFG,Maize,24,0,0.0
AFG,Millet,24,11,0.4583333333333333
AFG,Potatoes,24,0,0.0
AFG,Pulses nes,24,19,0.7916666666666666
AFG,"Rice, paddy",24,0,0.0
AFG,Seed cotton,24,3,0.125
AFG,Soybeans,2,0,0.0
AFG,Sugar beet,24,4,0.16666666666666666
AFG,Sunflower seed,24,20,0.8333333333333334
AFG,Wheat,24,0,0.0
AGO,Cassava,24,0,0.0
AGO,"Groundnuts, with shell",24,0,0.0
AGO,Maize,24,0,0.0
AGO,Millet,24,4,0.16666666666666666
AGO,Potatoes,24,0,0.0
AGO,"Rice, paddy",24,0,0.0
AGO,Seed cotton,24,24,1.0
AGO,Sorghum,24,7,0.2916666666666667
AGO,Soybeans,24,7,0.2916666666666667
AGO,Sunflower seed,24,24,1.0
AGO,Sweet potatoes,24,0,0.0
AGO,Wheat,24,22,0.9166666666666666
ALB,Barley,24,0,0.0
ALB,Maize,24,0,0.0
ALB,Oats,24,0,0.0
ALB,Potatoes,24,0,0.0
ALB,Pulses nes,24,24,1.0
ALB,Rye,24,0,0.0
ALB,Seed cotton,24,24,1.0
ALB,Soybeans,24,0,0.0
ALB,Sugar beet,24,7,0.2916666666666667
ALB,Sunflower seed,24,0,0.0
ALB,Wheat,24,0,0.0
ARE,Barley,4,0,0.0
ARE,Maize,24,8,0.3333333333333333
ARE,Potatoes,24,5,0.20833333333333334
ARE,Wheat,9,1,0.1111111111111111
ARG,Barley,24,0,0.0
ARG,Cassava,24,24,1.0
ARG,"Groundnuts, with shell",24,0,0.0
ARG,Maize,24,0,0.0
ARG,Millet,24,0,0.0
ARG,Oats,24,0,0.0
ARG,Potatoes,24,22,0.9166666666666666
ARG,Rapeseed,24,0,0.0
ARG,"Rice, paddy",24,0,0.0
ARG,Rye,24,0,0.0
ARG,Seed cotton,24,0,0.0
ARG,Sorghum,24,0,0.0
ARG,Soybeans,24,0,0.0
ARG,Sunflower seed,24,0,0.0
ARG,Sweet potatoes,24,23,0.9583333333333334
ARG,Wheat,24,0,0.0
ARM,Barley,24,0,0.0
ARM,Maize,24,0,0.0
ARM,Oats,24,0,0.0
ARM,Potatoes,24,0,0.0
ARM,Pulses nes,21,7,0.3333333333333333
ARM,Rye,24,0,0.0
ARM,Sugar beet,24,22,0.9166666666666666
ARM,Wheat,24,0,0.0
ATG,Cassava,24,20,0.8333333333333334
ATG,Maize,24,24,1.0
ATG,Seed cotton,24,24,1.0
ATG,Sweet potatoes,24,20,0.8333333333333334
ATG,Yams,24,24,1.0
AUS,Barley,24,0,0.0
AUS,"Groundnuts, with shell",24,1,0.041666666666666664
AUS,Maize,24,0,0.0
