,iso_a3,fao,lowres,wb
206,-99,,Somaliland,
205,-99,,N. Cyprus,
207,-99,,Kosovo,
210,ABW,,,Aruba
209,AND,,,Andorra
208,ASM,,,American Samoa
204,ATA,,Antarctica,
203,ATF,,Fr. S. Antarctic Lands,
4,ATG,Antigua and Barbuda,,Antigua and Barbuda
11,BHR,Bahrain,,Bahrain
211,BMU,,,Bermuda
13,BRB,Barbados,,Barbados
214,CHI,,,Channel Islands
41,COK,Cook Islands,,
39,COM,Comoros,,Comoros
27,CPV,Cabo Verde,,Cabo Verde
215,CUW,,,Curaçao
213,CYM,,,Cayman Islands
52,DMA,Dominica,,Dominica
200,ESH,,W. Sahara,
172,F206,Sudan (former),,
34,F351,China,,
201,FLK,,Falkland Is.,
62,FRO,Faroe Islands,,Faroe Islands
116,FSM,Micronesia (Federated States of),,"Micronesia, Fed. Sts."
216,GIB,,,Gibraltar
75,GLP,Guadeloupe,,
74,GRD,Grenada,,Grenada
202,GRL,,Greenland,Greenland
66,GUF,French Guiana,,
217,GUM,,,Guam
35,HKG,"China, Hong Kong SAR",,"Hong Kong SAR, China"
218,IMN,,,Isle of Man
219,KIR,,,Kiribati
151,KNA,Saint Kitts and Nevis,,St. Kitts and Nevis
152,LCA,Saint Lucia,,St. Lucia
221,LIE,,,Liechtenstein
222,MAC,,,"Macao SAR, China"
230,MAF,,,St. Martin (French part)
224,MCO,,,Monaco
109,MDV,Maldives,,Maldives
223,MHL,,,Marshall Islands
111,MLT,Malta,,Malta
226,MNP,,,Northern Mariana Islands
112,MTQ,Martinique,,
114,MUS,Mauritius,,Mauritius
130,NIU,Niue,,
225,NRU,,,Nauru
227,PLW,,,Palau
67,PYF,French Polynesia,,French Polynesia
147,REU,Réunion,,
159,SCG,Serbia and Montenegro,,
162,SGP,Singapore,,Singapore
228,SMR,,,San Marino
155,STP,Sao Tome and Principe,,São Tomé and Príncipe
229,SXM,,,Sint Maarten (Dutch part)
160,SYC,Seychelles,,Seychelles
231,TCA,,,Turks and Caicos Islands
181,TON,Tonga,,Tonga
232,TUV,,,Tuvalu
153,VCT,Saint Vincent and the Grenadines,,St. Vincent and the Grenadines
212,VGB,,,British Virgin Islands
233,VIR,,,Virgin Islands (U.S.)
154,WSM,Samoa,,Samoa
220,XKX,,,Kosovo
