iso_a3,value,wb,country
,10943.785854147483,,
ABW,25976.086252249235,Aruba,
AFE,1335.4890551881597,,
AFG,415.4949455842083,Afghanistan,Afghanistan
AFW,1466.513373598419,,
AGO,2638.261393882451,Angola,Angola
ALB,4134.682595650997,Albania,Albania
AND,40040.34527571444,Andorra,
ARB,5504.129475671821,,
ARE,42154.85451894592,United Arab Emirates,United Arab Emirates
ARG,9635.663202975516,Argentina,Argentina
ARM,3248.0363324573154,Armenia,Armenia
ASM,11575.37566019524,American Samoa,
ATG,15911.784735610663,Antigua and Barbuda,Antigua and Barbuda
AUS,47898.16149924679,Australia,Australia
AUT,44332.211681815,Austria,Austria
AZE,4432.875946925024,Azerbaijan,Azerbaijan
BDI,196.1209595055548,Burundi,Burundi
BEL,41921.77619655161,Belgium,Belgium
BEN,981.4194335953264,Benin,Benin
BFA,615.9807322037365,Burkina Faso,Burkina Faso
BGD,1173.1002439777988,Bangladesh,Bangladesh
BGR,7326.052185691456,Bulgaria,Bulgaria
BHR,22355.519011668253,Bahrain,Bahrain
BHS,29335.123439341904,"Bahamas, The",Bahamas
BIH,4554.68027471351,Bosnia and Herzegovina,Bosnia and Herzegovina
BLR,5308.560598841642,Belarus,Belarus
BLZ,5725.070141389311,Belize,Belize
BMU,97955.06468994544,Bermuda,
BOL,2272.1574889410167,Bolivia,Bolivia (Plurinational State of)
BRA,8135.686250572337,Brazil,Brazil
BRB,17423.245044501222,Barbados,Barbados
BRN,31788.860839083107,Brunei Darussalam,Brunei Darussalam
BTN,2390.1098114796296,Bhutan,Bhutan
BWA,6021.174722027502,Botswana,Botswana
CAF,398.6012832151584,Central African Republic,Central African Republic
CAN,42867.28465486201,Canada,Canada
CEB,12559.7757057593,,
CHE,73831.66968947709,Switzerland,Switzerland
CHI,58573.43198165011,Channel Islands,
CHL,11639.892415979111,Chile,Chile
CHN,6126.694664855969,China,"China, mainland"
CIV,1665.5402633979054,Côte d’Ivoire,Côte d'Ivoire
CMR,1359.3332759314087,Cameroon,Cameroon
COD,377.72115305667535,"Congo, Dem. Rep.",Democratic Republic of the Congo
COG,2301.2055249533264,"Congo, Rep.",Congo
COL,5457.970423614969,Colombia,Colombia
COM,1321.2571823566589,Comoros,Comoros
CPV,3253.99996270622,Cabo Verde,Cabo Verde
CRI,9046.61656358144,Costa Rica,Costa Rica
CSS,12213.09745234572,,
CUB,5820.065970605025,Cuba,Cuba
CUW,18493.95521549715,Curaçao,
CYM,82848.08103266988,Cayman Islands,
